datum;povp. dnevna T [°C];max. T [°C];min. T [°C];min. T na 5cm [°C];povp. veter [m/s];oblačnost [%];povp. rel. vla. [%];povp. tlak [hPa];količina padavin [mm];višina snežne odeje [cm];višina novega snega [cm];trajanje sonca [h];močan veter;viharni veter;dež;rosenje;ploha dežja;nevihta;grmenje;bliskanje;dež, ki zmrzuje;rosenje, ki zmrzuje;iglice;sneg;zrnat sneg;ploha snega;dež s snegom;babje pšeno;ploha dežja s snegom;toča;sodra;megla;megla z vidnim nebom;ledena megla;meglica;suha motnost;talna megla;rosa;slana;poledica;poledica na tleh;ivje;trdo ivje;padavine;snežna odeja
01/01/2019;1.2;8.6;-2.7;0.2;0.6;-;78;995;0;0;0;5.7;ne;ne;-;-;-;ne;ne;ne;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;ne;ne
02/01/2019;1.7;7.8;-5.8;-7.2;3.6;-;60;991;0;0;0;5.7;da;ne;-;-;-;ne;ne;ne;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;ne;ne
03/01/2019;-0.3;3.8;-4.2;-7.3;5.2;-;52;997;0;0;0;5.5;da;ne;-;-;-;ne;ne;ne;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;ne;ne
04/01/2019;-4.7;1.2;-12.7;-15.5;1.2;-;76;999;2.1;4;4;5.6;ne;ne;-;-;-;ne;ne;ne;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;da;da
05/01/2019;-4;0.7;-6.2;-9.2;1.3;-;82;989;0;3;0;0;ne;ne;-;-;-;ne;ne;ne;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;ne;da
06/01/2019;-1.6;4.4;-8.3;-10.4;1.8;-;83;992;0;2;0;3.9;ne;ne;-;-;-;ne;ne;ne;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;ne;da
07/01/2019;-3.1;0.1;-5.2;-7.2;0.9;-;91;999;0;0;0;0;ne;ne;-;-;-;ne;ne;ne;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;ne;da
08/01/2019;-3.6;1.1;-6.5;-8.7;1.3;-;95;984;0.5;0;0;0;ne;ne;-;-;-;ne;ne;ne;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;da;ne
09/01/2019;-0.9;3.5;-6.5;-8.2;0.5;-;91;976;0;0;0;0.3;ne;ne;-;-;-;ne;ne;ne;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;ne;ne
10/01/2019;-0.8;1.7;-3;-4.4;0.9;-;89;984;0;0;0;0.2;ne;ne;-;-;-;ne;ne;ne;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;ne;ne
