datum;povp. dnevna T [°C];povp. veter [m/s];povp. rel. vla. [%];povp. tlak [hPa];viharni veter;dež;toča;megla;rosa;slana;padavine
01/01/2019;2.2;0.3;80;989;ne;ne;ne;ne;da;ne;ne
02/01/2019;2.1;2.3;60;984;ne;ne;ne;ne;da;da;ne
03/01/2019;1.6;2.8;36;989;ne;ne;ne;ne;ne;ne;ne
04/01/2019;-0.8;1.2;61;992;ne;ne;ne;ne;ne;ne;da
05/01/2019;-1.5;0.8;71;983;ne;ne;ne;ne;ne;ne;ne
06/01/2019;-0.1;1.1;73;985;ne;ne;ne;ne;da;da;ne
07/01/2019;-0.6;1.1;81;992;ne;ne;ne;ne;ne;da;da
08/01/2019;-0.8;0.5;92;979;ne;ne;ne;ne;ne;da;da
09/01/2019;-1.1;0.7;95;970;ne;ne;ne;da;da;da;da
10/01/2019;0.5;1.3;83;977;ne;ne;ne;da;ne;da;ne
11/01/2019;-1.3;0.8;70;984;ne;ne;ne;ne;ne;da;da
12/01/2019;-0.9;0.3;74;981;ne;ne;ne;ne;ne;da;ne
13/01/2019;3.4;0.8;74;972;ne;ne;ne;ne;da;da;ne
14/01/2019;6;1.2;61;968;ne;ne;ne;ne;da;ne;da
15/01/2019;4.1;2;48;981;ne;ne;ne;ne;ne;da;da
16/01/2019;5.8;2.4;59;982;ne;ne;ne;ne;ne;ne;ne
17/01/2019;7.4;2;81;976;ne;da;ne;ne;ne;ne;ne
18/01/2019;1.5;0.8;93;981;ne;da;ne;da;ne;ne;da
19/01/2019;0.9;1.7;79;982;ne;ne;ne;ne;ne;ne;da
20/01/2019;-0.2;0.6;79;980;ne;ne;ne;ne;ne;ne;ne
21/01/2019;-0.1;2;77;984;ne;ne;ne;ne;ne;ne;ne
22/01/2019;-1.2;2.1;83;975;ne;ne;ne;ne;ne;ne;da
23/01/2019;-2.4;0.4;86;965;ne;ne;ne;ne;ne;ne;da
24/01/2019;-0.6;1;82;969;ne;ne;ne;ne;ne;ne;da
25/01/2019;-3.1;1;80;975;ne;ne;ne;ne;ne;ne;ne
26/01/2019;-4;0.3;77;976;ne;ne;ne;ne;ne;ne;ne
27/01/2019;-0.9;0.5;83;966;ne;da;ne;ne;ne;ne;ne
28/01/2019;2;1.2;93;962;ne;da;ne;ne;ne;ne;da
29/01/2019;2.2;1;84;971;ne;ne;ne;ne;ne;ne;da
30/01/2019;1;0.6;76;966;ne;ne;ne;ne;ne;ne;ne
31/01/2019;0.3;0.2;86;968;ne;ne;ne;ne;ne;ne;ne
01/02/2019;1.7;0.5;95;966;ne;da;ne;da;ne;ne;da
02/02/2019;6.1;0.8;99;964;ne;da;ne;da;ne;ne;da
03/02/2019;6.8;1.5;89;970;ne;da;ne;ne;ne;ne;da
04/02/2019;3.7;1.6;77;991;ne;ne;ne;ne;ne;ne;da
05/02/2019;2.2;1.1;72;992;ne;ne;ne;ne;ne;ne;ne
06/02/2019;1.3;0.8;76;991;ne;ne;ne;ne;ne;da;ne
07/02/2019;0.4;0.5;82;985;ne;ne;ne;da;ne;da;ne
08/02/2019;2.2;0.6;77;986;ne;ne;ne;ne;ne;da;ne
09/02/2019;5.2;1.6;72;983;ne;ne;ne;ne;da;da;ne
10/02/2019;4.9;0.6;91;977;ne;da;ne;ne;ne;ne;ne
11/02/2019;4.3;1.4;88;975;ne;da;ne;ne;da;ne;da
12/02/2019;3.9;1;54;989;ne;ne;ne;ne;da;da;da
13/02/2019;2.6;0.4;62;999;ne;ne;ne;ne;da;da;ne
14/02/2019;4.2;0.3;69;999;ne;ne;ne;ne;da;da;ne
15/02/2019;4.3;1;74;997;ne;ne;ne;ne;da;da;ne
16/02/2019;4.1;0.2;74;996;ne;ne;ne;da;da;da;ne
17/02/2019;5.2;0;68;992;ne;ne;ne;ne;da;da;ne
18/02/2019;6.1;0;65;987;ne;ne;ne;ne;da;da;ne
19/02/2019;7;2.5;65;985;ne;ne;ne;ne;da;ne;ne
20/02/2019;6.9;0.5;70;988;ne;ne;ne;ne;da;da;ne
21/02/2019;7.6;0.2;66;991;ne;ne;ne;ne;da;da;ne
22/02/2019;9.1;2.7;65;989;ne;ne;ne;ne;da;da;ne
23/02/2019;1.1;5;32;1001;ne;ne;ne;ne;ne;ne;ne
24/02/2019;2.1;0.8;41;1002;ne;ne;ne;ne;da;da;ne
25/02/2019;5.3;0.5;51;998;ne;ne;ne;ne;ne;ne;ne
26/02/2019;10.9;0.6;50;992;ne;ne;ne;ne;da;ne;da
27/02/2019;8.1;0.4;54;990;ne;ne;ne;ne;ne;ne;ne
28/02/2019;10.2;3.3;50;981;ne;ne;ne;ne;ne;da;ne
01/03/2019;9.5;0.9;56;977;ne;da;ne;ne;ne;da;ne
02/03/2019;9.4;0.6;62;980;ne;ne;ne;ne;ne;da;da
03/03/2019;9.9;0.2;57;984;ne;ne;ne;ne;da;da;ne
04/03/2019;9.9;3.1;63;973;ne;da;ne;ne;ne;ne;ne
05/03/2019;8.9;1.7;76;977;ne;da;ne;ne;ne;ne;da
06/03/2019;8.8;1.5;71;982;ne;ne;ne;ne;da;da;ne
07/03/2019;12.8;1.9;69;976;ne;da;ne;ne;ne;ne;ne
08/03/2019;12;2;60;982;ne;ne;ne;ne;da;ne;da
09/03/2019;11.4;3;63;985;ne;ne;ne;ne;da;ne;ne
10/03/2019;11.2;1.8;69;980;ne;ne;ne;ne;ne;ne;ne
11/03/2019;3.9;1.1;88;980;ne;da;ne;ne;da;ne;ne
12/03/2019;6;1.6;61;986;ne;ne;ne;da;da;ne;da
13/03/2019;5.6;1;66;978;ne;da;ne;ne;ne;da;ne
14/03/2019;7.2;1.6;63;975;ne;ne;ne;da;ne;ne;da
15/03/2019;9.7;5.4;60;975;ne;ne;ne;ne;ne;da;ne
16/03/2019;11.1;3.1;68;978;ne;ne;ne;ne;da;ne;ne
17/03/2019;12.3;3.1;70;978;ne;ne;ne;ne;ne;ne;ne
18/03/2019;4.8;1;88;982;ne;da;ne;ne;ne;ne;da
19/03/2019;5.5;2.2;77;990;ne;da;ne;ne;ne;ne;da
20/03/2019;5.7;2.2;59;996;ne;ne;ne;ne;da;ne;da
21/03/2019;7;1.5;55;998;ne;ne;ne;ne;da;da;ne
22/03/2019;9.1;0.8;57;995;ne;ne;ne;ne;ne;da;ne
23/03/2019;11.5;0.6;56;991;ne;ne;ne;ne;ne;da;ne
24/03/2019;13.7;1;52;985;ne;ne;ne;ne;ne;da;ne
25/03/2019;7.1;1.1;75;979;ne;da;ne;ne;da;ne;ne
26/03/2019;7.7;2.6;61;987;ne;ne;ne;ne;da;ne;da
27/03/2019;5.9;1.3;64;992;ne;ne;ne;ne;da;da;ne
28/03/2019;8;2.4;62;995;ne;ne;ne;ne;da;ne;ne
29/03/2019;10.4;1.3;59;995;ne;ne;ne;ne;da;ne;ne
30/03/2019;10.3;0.8;59;989;ne;ne;ne;ne;da;da;ne
31/03/2019;12.4;1;52;983;ne;ne;ne;ne;da;da;ne
