datum;povp. dnevna T [°C];max. T [°C];min. T [°C];min. T na 5cm [°C];povp. veter [m/s];oblačnost [%];povp. rel. vla. [%];povp. tlak [hPa];količina padavin [mm];višina snežne odeje [cm];višina novega snega [cm];trajanje sonca [h];močan veter;viharni veter;dež;rosenje;ploha dežja;nevihta;grmenje;bliskanje;dež, ki zmrzuje;rosenje, ki zmrzuje;iglice;sneg;zrnat sneg;ploha snega;dež s snegom;babje pšeno;ploha dežja s snegom;toča;sodra;megla;megla z vidnim nebom;ledena megla;meglica;suha motnost;talna megla;rosa;slana;poledica;poledica na tleh;ivje;trdo ivje;padavine;snežna odeja
01/01/2019;4.4;9.1;-0.7;-1.3;2.3;67;78;1026;0;0;0;4;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;da;da;ne;ne;ne;ne;ne;ne
02/01/2019;3;12.1;-0.8;0.3;3.4;40;60;1019;0;0;0;5.4;da;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;da;ne;ne;ne;ne;ne;ne
03/01/2019;3.9;8;-4.4;-8.6;4.9;23;43;1026;0;0;0;7.9;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;da;ne;ne;ne;ne;ne;ne
04/01/2019;1.3;6.7;-2;-6.8;3.1;30;54;1028;0;0;0;6.7;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;da;da;ne;ne;ne;ne;ne;ne
05/01/2019;1.3;7.9;-1.8;-3.2;3.6;57;67;1020;0;0;0;2.2;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;da;ne;ne;ne;ne;ne;ne
06/01/2019;2.2;8.5;-2.4;-4.6;3.3;33;78;1019;0;0;0;7.9;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;da;ne;ne;ne;ne;ne;ne
07/01/2019;4.4;7.5;-1.5;-2;2.6;73;67;1026;0;0;0;0.8;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;da;ne;ne;ne;ne;ne;ne
08/01/2019;4.8;8.3;2.2;1.2;1.7;70;80;1014;0;0;0;0;ne;ne;da;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;da;ne;ne;ne;ne;ne;ne;ne
09/01/2019;3.2;8.5;-0.3;-3.2;3;87;89;1005;0;0;0;2.9;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;da;ne;ne;da;da;ne;ne;ne;ne;da;ne
10/01/2019;5.5;9.9;-1.3;-4.5;4.2;20;45;1011;0;0;0;6.6;da;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;da;ne;ne;da;ne;ne;ne;ne;ne;ne;ne
11/01/2019;1.9;7.8;-1.7;-3.9;3.6;20;47;1020;0;0;0;8.1;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne
12/01/2019;2.5;8.7;-2.3;-5.9;3.6;60;70;1017;0;0;0;4.2;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne
13/01/2019;4.8;10.1;-0.8;-4;2.4;47;77;1008;0;0;0;5.5;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;da;ne;ne;ne;ne;ne;ne
14/01/2019;4.8;11.6;1.9;-1.4;2.1;40;84;1004;0;0;0;7.4;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;da;ne;ne;da;ne;ne;ne;ne;ne;ne;ne
15/01/2019;3.8;11.1;-0.7;-2;3.7;10;55;1018;0;0;0;8.2;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;da;da;ne;ne;ne;ne;ne;ne
16/01/2019;6.9;11.5;1;-1.6;2.9;50;70;1019;0;0;0;7.1;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;da;ne;ne;ne;ne;ne;ne;ne
17/01/2019;11.2;12.3;3.7;-1.7;3.7;90;75;1013;0;0;0;0;ne;ne;da;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne
18/01/2019;6.3;11.3;4.6;7.6;2;77;76;1012;9.5;0;0;0;da;ne;da;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;da;ne;ne;ne;ne;ne;ne;ne;ne;da;ne
19/01/2019;3.5;8.3;1.5;0.1;2.3;70;61;1015;3.8;0;0;2;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;da;ne
20/01/2019;2.5;7.5;-1.9;-2.8;3.3;63;77;1015;0;0;0;5.2;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;da;ne;ne;ne;ne;ne;ne
21/01/2019;4.2;7.2;1;-1.6;2.7;87;56;1015;0;0;0;1.9;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne
22/01/2019;3.2;7.7;-2;-3.6;3.2;70;59;1005;0;0;0;3.5;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;da;ne;ne;ne;ne;ne;ne
23/01/2019;1.8;4.4;0.3;-0.4;1.6;67;83;997;0.1;0;0;0;ne;ne;da;ne;ne;ne;ne;ne;ne;ne;ne;da;ne;ne;da;ne;ne;ne;ne;ne;ne;ne;da;ne;ne;ne;ne;ne;ne;ne;ne;da;ne
24/01/2019;5.3;9;-2.3;-5.1;4.3;20;51;999;1.2;0;0;7.9;da;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;da;ne
25/01/2019;3.4;5.6;2.4;1.2;6.3;20;43;1007;0;0;0;7.5;da;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne
26/01/2019;1.3;7;-3.3;-5.9;2.3;63;60;1010;0;0;0;6.4;da;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;da;ne;ne;ne;ne;ne;ne
27/01/2019;7.9;11.7;-2.7;-4;4.5;93;65;1000;0;0;0;0.8;da;ne;da;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;da;ne;ne;ne;ne;ne;ne
28/01/2019;6.3;12.1;4.9;5.3;3;93;78;996;2.4;0;0;0.1;da;ne;da;ne;ne;da;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;da;ne;ne;ne;ne;ne;ne;ne;ne;da;ne
29/01/2019;3.3;10.6;0.3;-2.2;3.6;47;68;1005;7.4;0;0;3.9;da;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;da;ne;ne;ne;ne;da;ne
30/01/2019;2.6;7.6;-2.9;-6.7;3.2;60;73;1000;0;0;0;3.5;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;da;ne;ne;ne;ne;ne;ne
31/01/2019;4.7;8.9;0.2;-1.4;2.6;87;70;1002;0;0;0;4.4;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;da;ne;ne;ne;ne;ne;ne
01/02/2019;11.1;13.5;4.3;3.1;5.8;100;88;999;7.2;0;0;0;da;ne;da;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;da;ne;ne;ne;ne;ne;ne;ne;ne;da;ne
02/02/2019;10.7;13.7;8.7;11.2;4.3;97;87;997;16.8;0;0;0;da;da;da;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;da;ne
03/02/2019;8.5;11.6;7.7;6.8;2.7;83;90;1005;36.6;0;0;3.6;ne;ne;da;ne;ne;da;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;da;ne;ne;ne;ne;ne;da;ne
04/02/2019;7.7;11.2;5.5;3.6;4.6;10;46;1023;0;0;0;9.1;da;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;da;ne
05/02/2019;8.5;13.1;2.1;-1.1;4;3;51;1022;0;0;0;9.1;da;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne
06/02/2019;6;14.5;2.8;-3.3;3.2;10;46;1023;0;0;0;9.3;da;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne
07/02/2019;3.5;10.9;-1.3;-2.5;4;37;72;1018;0;0;0;8.3;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;da;da;ne;ne;ne;ne;ne;ne
08/02/2019;5.3;13.9;1.2;0.4;3;33;66;1019;0;0;0;7.8;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;da;ne;ne;ne;ne;ne;ne;ne
09/02/2019;5.9;11.8;0.9;-0.2;4.4;40;76;1020;0;0;0;6.4;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;ne;da;ne;ne;da;da;ne;ne;ne;ne;ne;ne
